MCC  <E>  <E^2>
752 3.06262 9.76343
753 3.06395 9.77237
754 3.06527 9.78129
755 3.06659 9.79019
756 3.0679 9.79906
757 3.06922 9.8079
758 3.07061 9.81741
759 3.07177 9.82508
760 3.07289 9.83241
761 3.07401 9.83971
762 3.07543 9.84945
763 3.07716 9.86189
764 3.07889 9.8743
765 3.08031 9.88408
766 3.08139 9.89112
767 3.08247 9.89815
768 3.08283 9.89996
769 3.08328 9.90237
770 3.08337 9.90236
771 3.08329 9.90139
772 3.08327 9.90074
773 3.08369 9.90294
774 3.08413 9.90531
775 3.08407 9.90442
776 3.08392 9.90301
777 3.08377 9.90161
778 3.08381 9.90136
779 3.08376 9.90053
780 3.0837 9.89971
781 3.08365 9.89888
782 3.0836 9.89806
783 3.08321 9.8953
784 3.08283 9.89254
785 3.08273 9.89147
786 3.0825 9.88957
787 3.08224 9.88757
788 3.08221 9.88688
789 3.08218 9.88619
790 3.08215 9.88551
791 3.08212 9.88482
792 3.08196 9.88339
793 3.0818 9.88196
794 3.08165 9.88054
795 3.08149 9.87912
796 3.08134 9.8777
797 3.08113 9.87597
798 3.08092 9.87424
799 3.08029 9.8702
800 3.07949 9.86528
801 3.07869 9.86042
802 3.07808 9.85648
803 3.07747 9.85255
804 3.0769 9.84881
805 3.07655 9.8463
806 3.07616 9.84356
807 3.07578 9.84083
808 3.07545 9.83842
809 3.07481 9.83438
810 3.07459 9.83261
811 3.07486 9.83384
812 3.07565 9.83871
813 3.077 9.84804
814 3.07809 9.85522
815 3.07835 9.85641
816 3.07899 9.86021
817 3.07963 9.86404
818 3.08027 9.86786
819 3.08091 9.87166
820 3.08129 9.87365
821 3.08165 9.87554
822 3.08201 9.87743
823 3.08234 9.87909
824 3.08259 9.8802
825 3.08409 9.89088
826 3.08446 9.89276
827 3.08482 9.89465
828 3.08486 9.89444
829 3.08484 9.89385
830 3.08482 9.89327
831 3.08459 9.89147
832 3.08412 9.88828
833 3.08364 9.8851
834 3.08333 9.8828
835 3.08292 9.87993
836 3.0825 9.87706
837 3.08239 9.87594
838 3.08221 9.87442
839 3.0819 9.87215
840 3.08159 9.86989
841 3.08112 9.86673
842 3.08065 9.86358
843 3.0801 9.86
844 3.07955 9.85639
845 3.07899 9.85279
846 3.07809 9.84746
847 3.07722 9.84231
848 3.0769 9.83999
849 3.07658 9.83766
850 3.07598 9.83388
851 3.0757 9.83177
852 3.07553 9.83031
853 3.07543 9.82929
854 3.07504 9.82655
855 3.07452 9.82316
856 3.07461 9.82327
857 3.07519 9.82669
858 3.07572 9.8298
859 3.07633 9.83343
860 3.07686 9.83648
861 3.07768 9.84171
862 3.07906 9.85142
863 3.08045 9.86119
864 3.08183 9.87095
865 3.08341 9.88237
866 3.08409 9.88656
867 3.08481 9.89101
868 3.08508 9.8923
869 3.08569 9.89595
870 3.0863 9.8996
871 3.0869 9.90323
872 3.08704 9.90363
873 3.08706 9.90335
874 3.08708 9.90308
875 3.08685 9.90125
876 3.08661 9.89942
877 3.08638 9.89759
878 3.08618 9.89595
879 3.08628 9.89617
880 3.08587 9.8934
881 3.08527 9.88957
882 3.08488 9.88686
883 3.08448 9.88412
884 3.08431 9.8827
885 3.08467 9.88461
886 3.08503 9.88651
887 3.08495 9.88565
888 3.08488 9.88478
889 3.08481 9.88392
890 3.08526 9.8865
891 3.08644 9.89461
892 3.08749 9.90166
893 3.08854 9.90868
894 3.08958 9.9157
895 3.09105 9.92631
896 3.09252 9.9369
897 3.09322 9.94122
898 3.09371 9.94405
899 3.09482 9.95164
900 3.096 9.95974
901 3.09711 9.96733
902 3.09859 9.97811
903 3.09968 9.98546
904 3.10122 9.99678
905 3.10276 10.0081
906 3.10501 10.0262
907 3.10754 10.0472
908 3.10963 10.0638
909 3.11184 10.0816
910 3.11382 10.097
911 3.11661 10.121
912 3.11939 10.1449
913 3.12216 10.1688
914 3.12493 10.1926
915 3.12769 10.2164
916 3.12985 10.2337
917 3.13143 10.2454
918 3.13316 10.2585
919 3.13486 10.2713
920 3.13655 10.2841
921 3.13824 10.2968
922 3.13945 10.3053
923 3.14065 10.3137
924 3.14185 10.322
925 3.14353 10.3348
926 3.1453 10.3483
927 3.14695 10.3607
928 3.14831 10.3704
929 3.1496 10.3796
930 3.15059 10.3863
931 3.15158 10.3929
932 3.15257 10.3996
933 3.15326 10.4039
934 3.15396 10.4083
935 3.1546 10.4122
936 3.15525 10.4162
937 3.15589 10.4201
938 3.15682 10.4263
939 3.15739 10.4297
940 3.15784 10.4323
941 3.15773 10.4311
942 3.15746 10.429
943 3.15707 10.4262
944 3.15687 10.4245
945 3.15642 10.4213
946 3.15571 10.4168
947 3.155 10.4124
948 3.1544 10.4084
949 3.15375 10.4043
950 3.15329 10.401
951 3.15252 10.3963
952 3.1517 10.3913
953 3.15079 10.3858
954 3.15027 10.3823
955 3.15 10.3802
956 3.14972 10.378
957 3.14917 10.3744
958 3.14849 10.3701
959 3.14781 10.3658
960 3.14722 10.3619
961 3.14663 10.358
962 3.1459 10.3535
963 3.1451 10.3486
964 3.14445 10.3444
965 3.14389 10.3408
966 3.14308 10.3358
967 3.14242 10.3317
968 3.14163 10.3268
969 3.14084 10.322
970 3.14019 10.3178
971 3.13954 10.3137
972 3.13914 10.3109
973 3.13836 10.3061
974 3.13748 10.3008
975 3.13689 10.297
976 3.13631 10.2932
977 3.13588 10.2903
978 3.13571 10.2887
979 3.13573 10.2884
980 3.13577 10.2882
981 3.1358 10.2879
982 3.13574 10.2871
983 3.13593 10.2878
984 3.1358 10.2866
985 3.13567 10.2854
986 3.13525 10.2824
987 3.13508 10.2809
988 3.13492 10.2795
989 3.13527 10.2814
990 3.13563 10.2832
991 3.13581 10.284
992 3.136 10.2847
993 3.13654 10.288
994 3.13687 10.2897
995 3.1372 10.2914
996 3.13783 10.2954
997 3.13846 10.2993
998 3.13903 10.3027
999 3.13957 10.3059
1000 3.14011 10.3092
